ID,Pred
2019_1101_1113,0.1743
2019_1101_1120,0.0380
2019_1101_1124,0.1438
2019_1101_1125,0.1494
2019_1101_1133,0.5283
2019_1101_1138,0.0415
2019_1101_1153,0.0546
2019_1101_1159,0.3512
2019_1101_1181,0.0051
2019_1101_1192,0.6347
2019_1101_1196,0.1102
2019_1101_1199,0.0500
2019_1101_1205,0.5726
2019_1101_1209,0.3402
2019_1101_1211,0.0047
2019_1101_1222,0.0311
2019_1101_1233,0.5887
2019_1101_1234,0.1714
2019_1101_1235,0.0557
2019_1101_1242,0.0425
2019_1101_1243,0.1084
2019_1101_1246,0.0278
2019_1101_1251,0.3042
2019_1101_1257,0.0492
2019_1101_1261,0.0615
2019_1101_1266,0.0666
2019_1101_1268,0.0812
2019_1101_1276,0.0284
2019_1101_1277,0.0205
2019_1101_1278,0.2107
2019_1101_1279,0.1601
2019_1101_1280,0.0553
2019_1101_1285,0.2787
2019_1101_1293,0.1338
2019_1101_1295,0.4989
2019_1101_1297,0.3053
2019_1101_1300,0.8040
2019_1101_1305,0.0503
2019_1101_1308,0.1467
2019_1101_1314,0.0101
2019_1101_1318,0.1826
2019_1101_1326,0.1436
2019_1101_1328,0.1490
2019_1101_1330,0.3324
2019_1101_1332,0.0850
2019_1101_1341,0.6947
2019_1101_1345,0.0477
2019_1101_1371,0.1721
2019_1101_1385,0.2259
2019_1101_1387,0.2747
2019_1101_1388,0.0465
2019_1101_1393,0.0869
2019_1101_1396,0.2064
2019_1101_1397,0.0378
2019_1101_1403,0.0378
2019_1101_1414,0.2983
2019_1101_1416,0.0866
2019_1101_1429,0.0569
2019_1101_1433,0.0643
2019_1101_1436,0.1886
2019_1101_1437,0.0851
2019_1101_1438,0.0144
2019_1101_1439,0.0405
2019_1101_1449,0.1170
2019_1101_1458,0.0577
2019_1101_1459,0.0764
2019_1101_1463,0.2246
2019_1113_1120,0.1550
2019_1113_1124,0.4382
2019_1113_1125,0.4493
2019_1113_1133,0.8388
2019_1113_1138,0.1675
2019_1113_1153,0.2114
2019_1113_1159,0.7155
2019_1113_1181,0.0233
2019_1113_1192,0.8898
2019_1113_1196,0.3653
2019_1113_1199,0.1965
2019_1113_1205,0.8615
2019_1113_1209,0.7055
2019_1113_1211,0.0217
2019_1113_1222,0.1299
2019_1113_1233,0.8693
2019_1113_1234,0.4900
2019_1113_1235,0.2151
2019_1113_1242,0.1710
2019_1113_1243,0.3608
2019_1113_1246,0.1172
2019_1113_1251,0.6701
2019_1113_1257,0.1936
2019_1113_1261,0.2334
2019_1113_1266,0.2491
2019_1113_1268,0.2911
2019_1113_1276,0.1196
2019_1113_1277,0.0885
2019_1113_1278,0.5536
2019_1113_1279,0.4697
2019_1113_1280,0.2139
2019_1113_1285,0.6422
2019_1113_1293,0.4177
2019_1113_1295,0.8222
2019_1113_1297,0.6712
2019_1113_1300,0.9501
2019_1113_1305,0.1974
2019_1113_1308,0.4441
2019_1113_1314,0.0452
2019_1113_1318,0.5093
2019_1113_1326,0.4379
2019_1113_1328,0.4485
2019_1113_1330,0.6982
2019_1113_1332,0.3013
2019_1113_1341,0.9136
2019_1113_1345,0.1889
