ID,Pred
2019_1101_1113,0.17429185917809883 	 Abilene Chr-Arizona St
2019_1101_1120,0.03798465030160267 	 Abilene Chr-Auburn
2019_1101_1124,0.14377923467795015 	 Abilene Chr-Baylor
2019_1101_1125,0.1493901528811599 	 Abilene Chr-Belmont
2019_1101_1133,0.5283427840106916 	 Abilene Chr-Bradley
2019_1101_1138,0.041526689400213625 	 Abilene Chr-Buffalo
2019_1101_1153,0.054559031429070474 	 Abilene Chr-Cincinnati
2019_1101_1159,0.35121781831475907 	 Abilene Chr-Colgate
2019_1101_1181,0.005106901068039477 	 Abilene Chr-Duke
2019_1101_1192,0.6346911014882805 	 Abilene Chr-F Dickinson
2019_1101_1196,0.11022658027326245 	 Abilene Chr-Florida
2019_1101_1199,0.05001755692575727 	 Abilene Chr-Florida St
2019_1101_1205,0.5725763288329088 	 Abilene Chr-Gardner Webb
2019_1101_1209,0.3402122179568161 	 Abilene Chr-Georgia St
2019_1101_1211,0.004746817763489211 	 Abilene Chr-Gonzaga
2019_1101_1222,0.031142847162955272 	 Abilene Chr-Houston
2019_1101_1233,0.5887144022365723 	 Abilene Chr-Iona
2019_1101_1234,0.17140482349217231 	 Abilene Chr-Iowa
2019_1101_1235,0.05572431608040485 	 Abilene Chr-Iowa St
2019_1101_1242,0.0425227011583467 	 Abilene Chr-Kansas
2019_1101_1243,0.10835548218513454 	 Abilene Chr-Kansas St
2019_1101_1246,0.027788056354469536 	 Abilene Chr-Kentucky
2019_1101_1251,0.304232073847239 	 Abilene Chr-Liberty
2019_1101_1257,0.04915371643819049 	 Abilene Chr-Louisville
2019_1101_1261,0.06151489729777734 	 Abilene Chr-LSU
2019_1101_1266,0.06664352978531964 	 Abilene Chr-Marquette
2019_1101_1268,0.08122494786342428 	 Abilene Chr-Maryland
2019_1101_1276,0.028421255585397282 	 Abilene Chr-Michigan
2019_1101_1277,0.020467131437028704 	 Abilene Chr-Michigan St
2019_1101_1278,0.21073100205604747 	 Abilene Chr-Minnesota
2019_1101_1279,0.16013613377740837 	 Abilene Chr-Mississippi
2019_1101_1280,0.05533644512171962 	 Abilene Chr-Mississippi St
2019_1101_1285,0.27871022660840356 	 Abilene Chr-Montana
2019_1101_1293,0.13375069421265806 	 Abilene Chr-Murray St
2019_1101_1295,0.4988609678757662 	 Abilene Chr-N Dakota St
2019_1101_1297,0.30529146213998704 	 Abilene Chr-N Kentucky
2019_1101_1300,0.8039841342031362 	 Abilene Chr-NC Central
2019_1101_1305,0.05027175614187449 	 Abilene Chr-Nevada
2019_1101_1308,0.1467454888222455 	 Abilene Chr-New Mexico St
2019_1101_1314,0.010084130925970665 	 Abilene Chr-North Carolina
2019_1101_1318,0.182641058122873 	 Abilene Chr-Northeastern
